Time,PV(kWh),Energy purchase(kWh),Feed-in(kWh),Load(kWh)
2025-08-01,10.7,9.9,1.1,19.5
2025-08-02,21.7,7.2,7.8,21.1
2025-08-03,18.1,5.5,4.8,18.8
2025-08-04,22,3.7,8.3,17.4
2025-08-05,21.4,3.3,12.2,12.5
2025-08-06,21.1,5.3,6,20.4
2025-08-07,20.4,5.2,7.2,18.4
2025-08-08,8.3,10.7,2.6,16.4
2025-08-09,10.8,6.8,5.7,11.9
2025-08-10,18.4,6.5,7.2,17.7
2025-08-11,22.6,9,6.5,25.1
2025-08-12,23.6,3.7,14,13.3
2025-08-13,22.1,4.9,8.4,18.6
2025-08-14,21.7,7.8,7.9,21.6
2025-08-15,24.1,5.8,9.2,20.7
2025-08-16,24.1,5.9,9.5,20.5
2025-08-17,24.5,7.4,18.2,13.7
2025-08-18,24.4,9.4,5.5,28.3
2025-08-19,8.6,10.7,2,17.3
2025-08-20,10.2,2.6,6.9,5.9
2025-08-21,12.9,3.1,9.7,6.3
2025-08-22,19.9,2,16,5.9
2025-08-23,25.9,1.9,21.6,6.2
2025-08-24,23.5,1.8,19.2,6.1
2025-08-25,26.1,1.8,21.7,6.2
2025-08-26,19.8,2.2,15.9,6.1
2025-08-27,25.5,2,21.2,6.3
2025-08-28,25.8,1.9,21.7,6
2025-08-29,27.1,1.8,22.5,6.4
2025-08-30,27.2,1.7,22.7,6.2
2025-08-31,27.4,1.8,22.9,6.3
