Time,PV(kWh),Purchased Energy(kWh),Feed-in(kWh),Load(kWh)
2025-03-01,30.8,4,19.5,15.3
2025-03-02,32.1,5.4,23.3,14.2
2025-03-03,14.9,7.2,5.9,16.2
2025-03-04,28.3,6.7,17.9,17.1
2025-03-05,18.1,6.7,7.4,17.4
2025-03-06,24.1,5,12.7,16.4
2025-03-07,18.3,6.5,8.1,16.7
2025-03-08,7,7.3,2.6,11.7
2025-03-09,3.5,12.2,0.1,15.6
2025-03-10,6.7,8.5,1,14.2
2025-03-11,21.7,3.6,14.5,10.8
2025-03-12,22.7,5.4,14.9,13.2
2025-03-13,26.6,5.4,14.3,17.7
2025-03-14,28.3,5.2,14.2,19.3
2025-03-15,25.2,8.1,10.9,22.4
2025-03-16,28,3.9,19.2,12.7
2025-03-17,32.6,3.4,25,11
2025-03-18,24.1,4.8,16.8,12.1
2025-03-19,21.9,4.8,10.1,16.6
2025-03-20,15.9,7.1,9.5,13.5
2025-03-21,26.3,3.9,16.1,14.1
2025-03-22,22.6,4.5,14,13.1
2025-03-23,16.8,8.1,6.9,18
2025-03-24,17.5,7.3,5.3,19.5
2025-03-25,10.6,5.7,5,11.3
2025-03-26,12.5,7.4,4.8,15.1
2025-03-27,9.1,5.7,4.5,10.3
2025-03-28,8.2,8.5,3.7,13
2025-03-29,8.8,6.4,4.6,10.6
2025-03-30,25.8,7.8,9.1,24.5
2025-03-31,27.7,5.4,19.2,13.9
