Time,PV(kWh),Energy purchase(kWh),Feed-in(kWh),Load(kWh)
2025-09-01,13.1,2.9,9.9,6.1
2025-09-02,25.4,2,21.3,6.1
2025-09-03,26.8,1.9,22.5,6.2
2025-09-04,25.2,1.9,21.2,5.9
2025-09-05,23.6,1.8,19.3,6.1
2025-09-06,22.1,2,17.9,6.2
2025-09-07,25.7,1.8,21.4,6.1
2025-09-08,27.3,5.2,12.5,20
2025-09-09,27.7,3.4,15.3,15.8
2025-09-10,21.9,5.4,7.5,19.8
2025-09-11,30.5,3.4,22.5,11.4
2025-09-12,27.9,4.2,15.6,16.5
2025-09-13,21.3,3.4,11.4,13.3
2025-09-14,24.6,5.1,13.4,16.3
2025-09-15,28.1,3.3,18.7,12.7
2025-09-16,26.4,3.5,16.7,13.2
2025-09-17,25.8,5.5,11.5,19.8
2025-09-18,29.2,4.3,18.3,15.2
2025-09-19,22.8,4.2,10.8,16.2
2025-09-20,12.7,3.3,9.7,6.3
2025-09-21,31.3,3.1,14.7,19.7
2025-09-22,30.9,3.2,18.1,16
2025-09-23,31.4,3.9,20.3,15
2025-09-24,31.9,3.8,15.8,19.9
2025-09-25,32.1,3.9,19,17
2025-09-26,31.3,5.1,14.1,22.3
2025-09-27,30.6,3.6,16.1,18.1
2025-09-28,30.2,4.2,18,16.4
2025-09-29,26.5,4.4,12.5,18.4
2025-09-30,25.6,6.7,13.5,18.8
