Time,PV(kWh),Purchased Energy(kWh),Feed-in(kWh),Load(kWh)
2025-02-01,27.7,1.7,25.5,3.9
2025-02-02,30,4.4,25.3,9.1
2025-02-03,31.3,4,26,9.3
2025-02-04,29.2,3.2,26.5,5.9
2025-02-05,16.5,6.9,10,13.4
2025-02-06,24.9,4.5,20.1,9.3
2025-02-07,30.9,4.2,20.9,14.2
2025-02-08,33.8,4.3,23.1,15
2025-02-09,34,8.7,27.8,14.9
2025-02-10,28.5,3.9,24.2,8.2
2025-02-11,30.6,6.4,17.1,19.9
2025-02-12,29.7,7.1,18.9,17.9
2025-02-13,25.1,5.4,21.3,9.2
2025-02-14,27.3,5.4,14.8,17.9
2025-02-15,22.8,4.5,14.5,12.8
2025-02-16,36.2,5.9,28.1,14
2025-02-17,25.6,4,18.8,10.8
2025-02-18,29.5,4.8,26.3,8
2025-02-19,26.6,5.6,18.4,13.8
2025-02-20,32.2,6.1,26.3,12
2025-02-21,31,5.3,20.6,15.7
2025-02-22,30.7,5.1,21.9,13.9
2025-02-23,32.2,7.3,18.7,20.8
2025-02-24,32.1,5.3,27.7,9.7
2025-02-25,30.6,7,17.7,19.9
2025-02-26,28.5,8,11.3,25.2
2025-02-27,27.7,5.5,20,13.2
2025-02-28,29.9,4.6,16,18.5
