Time,PV(kWh),Purchased energy(kWh),Feed-in(kWh),Load(kWh)
2025-07-01,16.1,2.9,11.5,7.5
2025-07-02,16.8,2.6,11.9,7.5
2025-07-03,16.3,6.2,3.7,18.8
2025-07-04,16,8.8,3,21.8
2025-07-05,15.4,7.8,3.8,19.4
2025-07-06,12.3,7.5,3.1,16.7
2025-07-07,16.1,3.5,6.4,13.2
2025-07-08,16.5,7.4,4.9,19
2025-07-09,13.8,13.2,3,24
2025-07-10,15.6,4.2,4.7,15.1
2025-07-11,17.1,9.7,3.6,23.2
2025-07-12,17.2,4.7,6.5,15.4
2025-07-13,17,7.6,9.1,15.5
2025-07-14,18,6.6,8.4,16.2
2025-07-15,13.4,13.1,4.9,21.6
2025-07-16,16.7,8,3.1,21.6
2025-07-17,17.1,5.8,5,17.9
2025-07-18,9.6,9.2,1.5,17.3
2025-07-19,18.3,3.6,6.5,15.4
2025-07-20,19.5,6.2,9.2,16.5
2025-07-21,15.5,4.4,6.5,13.4
2025-07-22,15.5,4.9,7,13.4
2025-07-23,13.1,6.5,5.4,14.2
2025-07-24,20.6,4.8,5.5,19.9
2025-07-25,19.1,9,5.1,23
2025-07-26,8.3,12.6,1.5,19.4
2025-07-27,20.2,6.7,7.6,19.3
2025-07-28,21.1,6,6.8,20.3
2025-07-29,17.1,6.2,6.6,16.7
2025-07-30,15.7,8.1,3,20.8
2025-07-31,21.5,3.5,11.7,13.3
