Time,PV(W),Grid(W),Load(W)
2025-01-21 00:00:00,0,322,322
2025-01-21 00:05:00,0,161,161
2025-01-21 00:10:00,0,152,152
2025-01-21 00:15:00,0,170,170
2025-01-21 00:20:00,0,149,149
2025-01-21 00:25:00,0,157,157
2025-01-21 00:30:00,0,326,326
2025-01-21 00:35:00,0,148,148
2025-01-21 00:40:00,0,150,150
2025-01-21 00:45:00,0,153,153
2025-01-21 00:50:00,0,172,172
2025-01-21 00:55:00,0,154,154
2025-01-21 01:00:00,0,159,159
2025-01-21 01:05:00,0,352,352
2025-01-21 01:10:00,0,153,153
2025-01-21 01:15:00,0,150,150
2025-01-21 01:20:00,0,115,115
2025-01-21 01:25:00,0,311,311
2025-01-21 01:30:00,0,299,299
2025-01-21 01:35:00,0,305,305
2025-01-21 01:40:00,0,518,518
2025-01-21 01:45:00,0,122,122
2025-01-21 01:50:00,0,121,121
2025-01-21 01:55:00,0,196,196
2025-01-21 02:00:00,0,205,205
2025-01-21 02:05:00,0,214,214
2025-01-21 02:10:00,0,212,212
2025-01-21 02:15:00,0,208,208
2025-01-21 02:20:00,0,409,409
2025-01-21 02:25:00,0,190,190
2025-01-21 02:30:00,0,190,190
2025-01-21 02:35:00,0,195,195
2025-01-21 02:40:00,0,188,188
2025-01-21 02:45:00,0,113,113
2025-01-21 02:50:00,0,118,118
2025-01-21 02:55:00,0,153,153
2025-01-21 03:00:00,0,362,362
2025-01-21 03:05:00,0,151,151
2025-01-21 03:10:00,0,151,151
2025-01-21 03:15:00,0,160,160
2025-01-21 03:20:00,0,160,160
2025-01-21 03:25:00,0,160,160
2025-01-21 03:30:00,0,128,128
2025-01-21 03:35:00,0,127,127
2025-01-21 03:40:00,0,126,126
2025-01-21 03:45:00,0,164,164
2025-01-21 03:50:00,0,685,685
2025-01-21 03:55:00,0,180,180
2025-01-21 04:00:00,0,176,176
2025-01-21 04:05:00,0,176,176
2025-01-21 04:10:00,0,133,133
2025-01-21 04:15:00,0,174,174
2025-01-21 04:20:00,0,168,168
2025-01-21 04:25:00,0,168,168
2025-01-21 04:30:00,0,165,165
2025-01-21 04:35:00,0,184,184
2025-01-21 04:40:00,0,362,362
2025-01-21 04:45:00,0,165,165
2025-01-21 04:50:00,0,167,167
2025-01-21 04:55:00,0,167,167
2025-01-21 05:00:00,0,175,175
2025-01-21 05:05:00,0,127,127
2025-01-21 05:10:00,0,152,152
2025-01-21 05:15:00,0,150,150
2025-01-21 05:20:00,0,148,148
2025-01-21 05:25:00,0,145,145
2025-01-21 05:30:00,0,112,112
2025-01-21 05:35:00,0,356,356
2025-01-21 05:40:00,0,146,146
2025-01-21 05:45:00,133,36,169
2025-01-21 05:50:00,134,26,160
2025-01-21 05:55:00,193,-64,129
2025-01-21 06:00:00,246,-114,132
2025-01-21 06:05:00,320,-161,159
2025-01-21 06:10:00,393,-231,162
2025-01-21 06:15:00,361,-198,163
2025-01-21 06:20:00,353,-182,171
2025-01-21 06:25:00,436,-250,186
2025-01-21 06:30:00,463,-94,369
2025-01-21 06:35:00,894,-732,162
2025-01-21 06:40:00,952,-786,166
2025-01-21 06:45:00,1013,-843,170
2025-01-21 06:50:00,1200,-1074,126
2025-01-21 06:55:00,2356,-2178,178
2025-01-21 07:00:00,2502,-2320,182
2025-01-21 07:05:00,2601,-2423,178
2025-01-21 07:10:00,2709,-2530,179
2025-01-21 07:15:00,3595,-3438,157
2025-01-21 07:20:00,3742,-3562,180
2025-01-21 07:25:00,3853,-3656,197
2025-01-21 07:30:00,3954,-3682,272
2025-01-21 07:35:00,4051,-3754,297
2025-01-21 07:40:00,4150,-3856,294
2025-01-21 07:45:00,4191,-1964,2227
2025-01-21 07:50:00,3274,-2889,385
2025-01-21 07:55:00,4440,-4104,336
2025-01-21 08:00:00,3990,-3509,481
2025-01-21 08:05:00,3052,-2765,287
2025-01-21 08:10:00,2192,-1898,294
