Time,PV(W),Grid(W),Load(W)
2025-07-03 00:00:00,0,126,126
2025-07-03 00:05:00,0,120,120
2025-07-03 00:10:00,0,125,125
2025-07-03 00:15:00,0,145,145
2025-07-03 00:20:00,0,148,148
2025-07-03 00:25:00,0,148,148
2025-07-03 00:30:00,0,152,152
2025-07-03 00:35:00,0,122,122
2025-07-03 00:40:00,0,122,122
2025-07-03 00:45:00,0,125,125
2025-07-03 00:50:00,0,123,123
2025-07-03 00:55:00,0,151,151
2025-07-03 01:00:00,0,147,147
2025-07-03 01:05:00,0,153,153
2025-07-03 01:10:00,0,157,157
2025-07-03 01:15:00,0,122,122
2025-07-03 01:20:00,0,122,122
2025-07-03 01:25:00,0,121,121
2025-07-03 01:30:00,0,158,158
2025-07-03 01:35:00,0,150,150
2025-07-03 01:40:00,0,168,168
2025-07-03 01:45:00,0,148,148
2025-07-03 01:50:00,0,126,126
2025-07-03 01:55:00,0,124,124
2025-07-03 02:00:00,0,123,123
2025-07-03 02:05:00,0,163,163
2025-07-03 02:10:00,0,152,152
2025-07-03 02:15:00,0,152,152
2025-07-03 02:20:00,0,147,147
2025-07-03 02:25:00,0,123,123
2025-07-03 02:30:00,0,124,124
2025-07-03 02:35:00,0,125,125
2025-07-03 02:40:00,0,122,122
2025-07-03 02:45:00,0,147,147
2025-07-03 02:50:00,0,157,157
2025-07-03 02:55:00,0,148,148
2025-07-03 03:00:00,0,119,119
2025-07-03 03:05:00,0,120,120
2025-07-03 03:10:00,0,129,129
2025-07-03 03:15:00,0,124,124
2025-07-03 03:20:00,0,151,151
2025-07-03 03:25:00,0,154,154
2025-07-03 03:30:00,0,152,152
2025-07-03 03:35:00,0,150,150
2025-07-03 03:40:00,0,126,126
2025-07-03 03:45:00,0,124,124
2025-07-03 03:50:00,0,124,124
2025-07-03 03:55:00,0,126,126
2025-07-03 04:00:00,0,152,152
2025-07-03 04:05:00,0,150,150
2025-07-03 04:10:00,0,150,150
2025-07-03 04:15:00,0,149,149
2025-07-03 04:20:00,0,126,126
2025-07-03 04:25:00,0,126,126
2025-07-03 04:30:00,0,124,124
2025-07-03 04:35:00,0,158,158
2025-07-03 04:40:00,0,149,149
2025-07-03 04:45:00,0,149,149
2025-07-03 04:50:00,0,153,153
2025-07-03 04:55:00,0,124,124
2025-07-03 05:00:00,0,122,122
2025-07-03 05:05:00,0,123,123
2025-07-03 05:10:00,0,121,121
2025-07-03 05:15:00,0,167,167
2025-07-03 05:20:00,0,148,148
2025-07-03 05:25:00,0,148,148
2025-07-03 05:30:00,0,123,123
2025-07-03 05:35:00,0,123,123
2025-07-03 05:40:00,0,121,121
2025-07-03 05:45:00,0,120,120
2025-07-03 05:50:00,0,165,165
2025-07-03 05:55:00,0,152,152
2025-07-03 06:00:00,0,146,146
2025-07-03 06:05:00,0,148,148
2025-07-03 06:10:00,0,122,122
2025-07-03 06:15:00,0,122,122
2025-07-03 06:20:00,0,1204,1204
2025-07-03 06:25:00,0,726,726
2025-07-03 06:30:00,0,686,686
2025-07-03 06:35:00,0,819,819
2025-07-03 06:40:00,0,758,758
2025-07-03 06:45:00,0,615,615
2025-07-03 06:50:00,0,583,583
2025-07-03 06:55:00,0,117,117
2025-07-03 07:00:00,0,710,710
2025-07-03 07:05:00,0,613,613
2025-07-03 07:10:00,0,138,138
2025-07-03 07:15:00,0,747,747
2025-07-03 07:20:00,112,576,688
2025-07-03 07:25:00,124,28,152
2025-07-03 07:30:00,139,618,757
2025-07-03 07:35:00,150,497,647
2025-07-03 07:40:00,165,-37,128
2025-07-03 07:45:00,178,628,806
2025-07-03 07:50:00,200,474,674
2025-07-03 07:55:00,618,-454,164
2025-07-03 08:00:00,883,-734,149
2025-07-03 08:05:00,1096,-334,762
2025-07-03 08:10:00,1130,-976,154
2025-07-03 08:15:00,1177,-405,772
2025-07-03 08:20:00,1212,-269,943
2025-07-03 08:25:00,1239,-435,804
2025-07-03 08:30:00,1281,-568,713
2025-07-03 08:35:00,1302,-82,1220
2025-07-03 08:40:00,1343,-170,1173
2025-07-03 08:45:00,1370,-442,928
2025-07-03 08:50:00,1399,-651,748
2025-07-03 08:55:00,1422,-538,884
2025-07-03 09:00:00,1444,126,1570
2025-07-03 09:05:00,1471,-528,943
2025-07-03 09:10:00,1488,-802,686
2025-07-03 09:15:00,1506,703,2209
2025-07-03 09:20:00,3043,-808,2235
2025-07-03 09:25:00,3078,-911,2167
2025-07-03 09:30:00,3068,-912,2156
2025-07-03 09:35:00,3140,-927,2213
2025-07-03 09:40:00,3085,-454,2631
2025-07-03 09:45:00,3221,-177,3044
2025-07-03 09:50:00,3176,-902,2274
2025-07-03 09:55:00,3268,-954,2314
2025-07-03 10:00:00,3287,210,3497
2025-07-03 10:05:00,3295,-952,2343
2025-07-03 10:10:00,3303,-875,2428
2025-07-03 10:15:00,3327,-244,3083
2025-07-03 10:20:00,3349,-819,2530
2025-07-03 10:25:00,3387,909,4296
2025-07-03 10:30:00,3312,-660,2652
2025-07-03 10:35:00,3410,-1134,2276
2025-07-03 10:40:00,3414,-1112,2302
2025-07-03 10:45:00,3397,-1050,2347
2025-07-03 10:50:00,3394,-533,2861
2025-07-03 10:55:00,3471,-1148,2323
2025-07-03 11:00:00,3510,-1250,2260
2025-07-03 11:05:00,3514,-595,2919
2025-07-03 11:10:00,3481,-1274,2207
2025-07-03 11:15:00,3433,-1257,2176
2025-07-03 11:20:00,3431,-1229,2202
2025-07-03 11:25:00,3402,-584,2818
2025-07-03 11:30:00,3379,-1119,2260
2025-07-03 11:35:00,3342,-1106,2236
2025-07-03 11:40:00,3318,-1086,2232
2025-07-03 11:45:00,3269,-1012,2257
2025-07-03 11:50:00,3096,150,3246
2025-07-03 11:55:00,2785,-608,2177
2025-07-03 12:00:00,2841,-501,2340
2025-07-03 12:05:00,2656,-450,2206
2025-07-03 12:10:00,2810,-495,2315
2025-07-03 12:15:00,2976,105,3081
2025-07-03 12:20:00,2924,-645,2279
2025-07-03 12:25:00,2883,-633,2250
2025-07-03 12:30:00,2806,96,2902
2025-07-03 12:35:00,2759,-432,2327
2025-07-03 12:40:00,2687,1004,3691
2025-07-03 12:45:00,2616,132,2748
2025-07-03 12:50:00,2560,109,2669
2025-07-03 12:55:00,2474,-345,2129
2025-07-03 13:00:00,2417,-326,2091
2025-07-03 13:05:00,2329,-251,2078
2025-07-03 13:10:00,2254,682,2936
2025-07-03 13:15:00,2162,56,2218
2025-07-03 13:20:00,2079,138,2217
2025-07-03 13:25:00,2001,184,2185
2025-07-03 13:30:00,1936,204,2140
2025-07-03 13:35:00,1807,346,2153
2025-07-03 13:40:00,1721,-1286,435
2025-07-03 13:45:00,1631,-862,769
2025-07-03 13:50:00,1531,-1136,395
2025-07-03 13:55:00,1431,-1030,401
2025-07-03 14:00:00,1331,-858,473
2025-07-03 14:05:00,1082,-514,568
2025-07-03 14:10:00,907,-543,364
