Time,PV(W),Grid(W),Load(W)
2025-03-27 00:00:00,0,260,260
2025-03-27 00:05:00,0,268,268
2025-03-27 00:10:00,0,283,283
2025-03-27 00:15:00,0,467,467
2025-03-27 00:20:00,0,473,473
2025-03-27 00:25:00,0,240,240
2025-03-27 00:30:00,0,245,245
2025-03-27 00:35:00,0,275,275
2025-03-27 00:40:00,0,239,239
2025-03-27 00:45:00,0,168,168
2025-03-27 00:50:00,0,170,170
2025-03-27 00:55:00,0,223,223
2025-03-27 01:00:00,0,196,196
2025-03-27 01:05:00,0,413,413
2025-03-27 01:10:00,0,429,429
2025-03-27 01:15:00,0,221,221
2025-03-27 01:20:00,0,218,218
2025-03-27 01:25:00,0,211,211
2025-03-27 01:30:00,0,201,201
2025-03-27 01:35:00,0,240,240
2025-03-27 01:40:00,0,171,171
2025-03-27 01:45:00,0,194,194
2025-03-27 01:50:00,0,206,206
2025-03-27 01:55:00,0,452,452
2025-03-27 02:00:00,0,441,441
2025-03-27 02:05:00,0,210,210
2025-03-27 02:10:00,0,167,167
2025-03-27 02:15:00,0,261,261
2025-03-27 02:20:00,0,230,230
2025-03-27 02:25:00,0,229,229
2025-03-27 02:30:00,0,225,225
2025-03-27 02:35:00,0,232,232
2025-03-27 02:40:00,0,164,164
2025-03-27 02:45:00,0,419,419
2025-03-27 02:50:00,0,435,435
2025-03-27 02:55:00,0,213,213
2025-03-27 03:00:00,0,207,207
2025-03-27 03:05:00,0,190,190
2025-03-27 03:10:00,0,196,196
2025-03-27 03:15:00,0,226,226
2025-03-27 03:20:00,0,199,199
2025-03-27 03:25:00,0,200,200
2025-03-27 03:30:00,0,387,387
2025-03-27 03:35:00,0,486,486
2025-03-27 03:40:00,0,210,210
2025-03-27 03:45:00,0,204,204
2025-03-27 03:50:00,0,207,207
2025-03-27 03:55:00,0,244,244
2025-03-27 04:00:00,0,178,178
2025-03-27 04:05:00,0,209,209
2025-03-27 04:10:00,0,214,214
2025-03-27 04:15:00,0,238,238
2025-03-27 04:20:00,0,218,218
2025-03-27 04:25:00,0,179,179
2025-03-27 04:30:00,0,220,220
2025-03-27 04:35:00,0,431,431
2025-03-27 04:40:00,0,418,418
2025-03-27 04:45:00,0,209,209
2025-03-27 04:50:00,0,210,210
2025-03-27 04:55:00,0,214,214
2025-03-27 05:00:00,0,210,210
2025-03-27 05:05:00,0,207,207
2025-03-27 05:10:00,0,210,210
2025-03-27 05:15:00,0,243,243
2025-03-27 05:20:00,0,168,168
2025-03-27 05:25:00,0,165,165
2025-03-27 05:30:00,0,195,195
2025-03-27 05:35:00,0,270,270
2025-03-27 05:40:00,0,210,210
2025-03-27 05:45:00,0,426,426
2025-03-27 05:50:00,0,170,170
2025-03-27 05:55:00,0,177,177
2025-03-27 06:00:00,0,196,196
2025-03-27 06:05:00,0,212,212
2025-03-27 06:10:00,0,204,204
2025-03-27 06:15:00,0,158,158
2025-03-27 06:20:00,0,153,153
2025-03-27 06:25:00,0,182,182
2025-03-27 06:30:00,0,202,202
2025-03-27 06:35:00,0,435,435
2025-03-27 06:40:00,0,440,440
2025-03-27 06:45:00,146,53,199
2025-03-27 06:50:00,169,70,239
2025-03-27 06:55:00,195,40,235
2025-03-27 07:00:00,233,0,233
2025-03-27 07:05:00,250,-22,228
2025-03-27 07:10:00,266,-74,192
2025-03-27 07:15:00,307,-114,193
2025-03-27 07:20:00,361,-135,226
2025-03-27 07:25:00,544,-286,258
2025-03-27 07:30:00,771,-534,237
2025-03-27 07:35:00,810,-540,270
2025-03-27 07:40:00,742,-502,240
2025-03-27 07:45:00,806,-629,177
2025-03-27 07:50:00,979,-524,455
2025-03-27 07:55:00,1108,-886,222
2025-03-27 08:00:00,1207,-958,249
2025-03-27 08:05:00,1032,-829,203
2025-03-27 08:10:00,809,-608,201
2025-03-27 08:15:00,720,-489,231
2025-03-27 08:20:00,759,-528,231
2025-03-27 08:25:00,950,-680,270
2025-03-27 08:30:00,1109,-872,237
2025-03-27 08:35:00,1045,-817,228
2025-03-27 08:40:00,1101,-666,435
2025-03-27 08:45:00,1229,-739,490
2025-03-27 08:50:00,1329,-1068,261
2025-03-27 08:55:00,1401,-1116,285
2025-03-27 09:00:00,1306,-1054,252
2025-03-27 09:05:00,1162,-957,205
2025-03-27 09:10:00,1115,893,2008
2025-03-27 09:15:00,1119,870,1989
2025-03-27 09:20:00,1171,2840,4011
