Time,PV(W),Grid(W),Load(W)
2025-08-05 00:00:00,0,154,154
2025-08-05 00:05:00,0,233,233
2025-08-05 00:10:00,0,189,189
2025-08-05 00:15:00,0,174,174
2025-08-05 00:20:00,0,177,177
2025-08-05 00:25:00,0,181,181
2025-08-05 00:30:00,0,172,172
2025-08-05 00:35:00,0,195,195
2025-08-05 00:40:00,0,196,196
2025-08-05 00:45:00,0,199,199
2025-08-05 00:50:00,0,196,196
2025-08-05 00:55:00,0,181,181
2025-08-05 01:00:00,0,167,167
2025-08-05 01:05:00,0,197,197
2025-08-05 01:10:00,0,195,195
2025-08-05 01:15:00,0,216,216
2025-08-05 01:20:00,0,238,238
2025-08-05 01:25:00,0,169,169
2025-08-05 01:30:00,0,150,150
2025-08-05 01:35:00,0,176,176
2025-08-05 01:40:00,0,218,218
2025-08-05 01:45:00,0,182,182
2025-08-05 01:50:00,0,183,183
2025-08-05 01:55:00,0,159,159
2025-08-05 02:00:00,0,152,152
2025-08-05 02:05:00,0,218,218
2025-08-05 02:10:00,0,200,200
2025-08-05 02:15:00,0,201,201
2025-08-05 02:20:00,0,204,204
2025-08-05 02:25:00,0,176,176
2025-08-05 02:30:00,0,177,177
2025-08-05 02:35:00,0,179,179
2025-08-05 02:40:00,0,183,183
2025-08-05 02:45:00,0,181,181
2025-08-05 02:50:00,0,178,178
2025-08-05 02:55:00,0,155,155
2025-08-05 03:00:00,0,159,159
2025-08-05 03:05:00,0,210,210
2025-08-05 03:10:00,0,186,186
2025-08-05 03:15:00,0,186,186
2025-08-05 03:20:00,0,183,183
2025-08-05 03:25:00,0,159,159
2025-08-05 03:30:00,0,175,175
2025-08-05 03:35:00,0,197,197
2025-08-05 03:40:00,0,202,202
2025-08-05 03:45:00,0,200,200
2025-08-05 03:50:00,0,230,230
2025-08-05 03:55:00,0,171,171
2025-08-05 04:00:00,0,170,170
2025-08-05 04:05:00,0,177,177
2025-08-05 04:10:00,0,200,200
2025-08-05 04:15:00,0,194,194
2025-08-05 04:20:00,0,202,202
2025-08-05 04:25:00,0,193,193
2025-08-05 04:30:00,0,170,170
2025-08-05 04:35:00,0,172,172
2025-08-05 04:40:00,0,205,205
2025-08-05 04:45:00,0,192,192
2025-08-05 04:50:00,0,214,214
2025-08-05 04:55:00,0,194,194
2025-08-05 05:00:00,0,170,170
2025-08-05 05:05:00,0,172,172
2025-08-05 05:10:00,0,177,177
2025-08-05 05:15:00,0,195,195
2025-08-05 05:20:00,0,202,202
2025-08-05 05:25:00,0,198,198
2025-08-05 05:30:00,0,212,212
2025-08-05 05:35:00,0,154,154
2025-08-05 05:40:00,0,150,150
2025-08-05 05:45:00,0,196,196
2025-08-05 05:50:00,0,178,178
2025-08-05 05:55:00,0,212,212
2025-08-05 06:00:00,0,237,237
2025-08-05 06:05:00,0,176,176
2025-08-05 06:10:00,0,183,183
2025-08-05 06:15:00,0,178,178
2025-08-05 06:20:00,0,200,200
2025-08-05 06:25:00,0,179,179
2025-08-05 06:30:00,0,186,186
2025-08-05 06:35:00,0,181,181
2025-08-05 06:40:00,0,148,148
2025-08-05 06:45:00,0,148,148
2025-08-05 06:50:00,0,230,230
2025-08-05 06:55:00,0,161,161
2025-08-05 07:00:00,0,102,102
2025-08-05 07:05:00,116,60,176
2025-08-05 07:10:00,130,39,169
2025-08-05 07:15:00,143,23,166
