Time,PV(W),Grid(W),Load(W)
2025-01-29 00:00:00,0,154,154
2025-01-29 00:05:00,0,165,165
2025-01-29 00:10:00,0,120,120
2025-01-29 00:15:00,0,153,153
2025-01-29 00:20:00,0,155,155
2025-01-29 00:25:00,0,158,158
2025-01-29 00:30:00,0,156,156
2025-01-29 00:35:00,0,119,119
2025-01-29 00:40:00,0,121,121
2025-01-29 00:45:00,0,154,154
2025-01-29 00:50:00,0,156,156
2025-01-29 00:55:00,0,122,122
2025-01-29 01:00:00,0,309,309
2025-01-29 01:05:00,0,308,308
2025-01-29 01:10:00,0,309,309
2025-01-29 01:15:00,0,120,120
2025-01-29 01:20:00,0,121,121
2025-01-29 01:25:00,0,201,201
2025-01-29 01:30:00,0,231,231
2025-01-29 01:35:00,0,220,220
2025-01-29 01:40:00,0,220,220
2025-01-29 01:45:00,0,208,208
2025-01-29 01:50:00,0,198,198
2025-01-29 01:55:00,0,199,199
2025-01-29 02:00:00,0,198,198
2025-01-29 02:05:00,0,198,198
2025-01-29 02:10:00,0,119,119
2025-01-29 02:15:00,0,120,120
2025-01-29 02:20:00,0,122,122
2025-01-29 02:25:00,0,152,152
2025-01-29 02:30:00,0,158,158
2025-01-29 02:35:00,0,157,157
2025-01-29 02:40:00,0,165,165
2025-01-29 02:45:00,0,164,164
2025-01-29 02:50:00,0,120,120
2025-01-29 02:55:00,0,154,154
2025-01-29 03:00:00,0,160,160
2025-01-29 03:05:00,0,157,157
2025-01-29 03:10:00,0,155,155
2025-01-29 03:15:00,0,161,161
2025-01-29 03:20:00,0,120,120
2025-01-29 03:25:00,0,153,153
2025-01-29 03:30:00,0,157,157
2025-01-29 03:35:00,0,157,157
2025-01-29 03:40:00,0,164,164
2025-01-29 03:45:00,0,120,120
2025-01-29 03:50:00,0,189,189
2025-01-29 03:55:00,0,160,160
2025-01-29 04:00:00,0,158,158
2025-01-29 04:05:00,0,157,157
2025-01-29 04:10:00,0,163,163
2025-01-29 04:15:00,0,120,120
2025-01-29 04:20:00,0,154,154
2025-01-29 04:25:00,0,156,156
2025-01-29 04:30:00,0,156,156
2025-01-29 04:35:00,0,165,165
2025-01-29 04:40:00,0,123,123
2025-01-29 04:45:00,0,154,154
2025-01-29 04:50:00,0,155,155
2025-01-29 04:55:00,0,158,158
2025-01-29 05:00:00,0,157,157
2025-01-29 05:05:00,0,121,121
2025-01-29 05:10:00,0,120,120
2025-01-29 05:15:00,0,144,144
2025-01-29 05:20:00,0,145,145
2025-01-29 05:25:00,0,141,141
2025-01-29 05:30:00,0,150,150
2025-01-29 05:35:00,0,106,106
2025-01-29 05:40:00,0,137,137
2025-01-29 05:45:00,110,69,179
2025-01-29 05:50:00,134,31,165
2025-01-29 05:55:00,157,5,162
2025-01-29 06:00:00,174,-48,126
2025-01-29 06:05:00,195,-71,124
2025-01-29 06:10:00,215,-59,156
2025-01-29 06:15:00,237,-68,169
2025-01-29 06:20:00,259,-102,157
2025-01-29 06:25:00,283,-114,169
2025-01-29 06:30:00,301,-177,124
2025-01-29 06:35:00,320,-145,175
2025-01-29 06:40:00,758,-602,156
2025-01-29 06:45:00,892,-729,163
2025-01-29 06:50:00,937,-780,157
2025-01-29 06:55:00,1035,-912,123
2025-01-29 07:00:00,2477,-2343,134
2025-01-29 07:05:00,2579,-2407,172
2025-01-29 07:10:00,2678,-2497,181
2025-01-29 07:15:00,2753,-2578,175
2025-01-29 07:20:00,3721,-3529,192
2025-01-29 07:25:00,3841,-3682,159
2025-01-29 07:30:00,3913,-3732,181
2025-01-29 07:35:00,4017,-3831,186
2025-01-29 07:40:00,4098,-3900,198
2025-01-29 07:45:00,4197,-3992,205
2025-01-29 07:50:00,4274,-4115,159
2025-01-29 07:55:00,4349,-4198,151
2025-01-29 08:00:00,4450,-4244,206
2025-01-29 08:05:00,4526,-4334,192
2025-01-29 08:10:00,4585,-4387,198
2025-01-29 08:15:00,4645,-4433,212
2025-01-29 08:20:00,4797,-4605,192
2025-01-29 08:25:00,1465,-1325,140
2025-01-29 08:30:00,2970,-2834,136
2025-01-29 08:35:00,4868,-4644,224
2025-01-29 08:40:00,4894,-4744,150
2025-01-29 08:45:00,3312,-3252,60
2025-01-29 08:50:00,4985,-4780,205
2025-01-29 08:55:00,1040,-886,154
2025-01-29 09:00:00,4916,-4741,175
2025-01-29 09:05:00,4880,-4686,194
2025-01-29 09:10:00,4892,-4668,224
2025-01-29 09:15:00,1073,-939,134
2025-01-29 09:20:00,3679,-3679,0
2025-01-29 09:25:00,4995,-4784,211
2025-01-29 09:30:00,2620,-2337,283
2025-01-29 09:35:00,1987,-1773,214
2025-01-29 09:40:00,2441,-2318,123
2025-01-29 09:45:00,2265,-2128,137
