Time,PV(W),Grid(W),Load(W)
2025-04-20 00:00:00,0,240,240
2025-04-20 00:05:00,0,241,241
2025-04-20 00:10:00,0,248,248
2025-04-20 00:15:00,0,209,209
2025-04-20 00:20:00,0,208,208
2025-04-20 00:25:00,0,241,241
2025-04-20 00:30:00,0,240,240
2025-04-20 00:35:00,0,240,240
2025-04-20 00:40:00,0,209,209
2025-04-20 00:45:00,0,207,207
2025-04-20 00:50:00,0,213,213
2025-04-20 00:55:00,0,241,241
2025-04-20 01:00:00,0,244,244
2025-04-20 01:05:00,0,242,242
2025-04-20 01:10:00,0,205,205
2025-04-20 01:15:00,0,208,208
2025-04-20 01:20:00,0,244,244
2025-04-20 01:25:00,0,237,237
2025-04-20 01:30:00,0,240,240
2025-04-20 01:35:00,0,239,239
2025-04-20 01:40:00,0,206,206
2025-04-20 01:45:00,0,207,207
2025-04-20 01:50:00,0,239,239
2025-04-20 01:55:00,0,240,240
2025-04-20 02:00:00,0,240,240
2025-04-20 02:05:00,0,239,239
2025-04-20 02:10:00,0,211,211
2025-04-20 02:15:00,0,205,205
2025-04-20 02:20:00,0,237,237
2025-04-20 02:25:00,0,243,243
2025-04-20 02:30:00,0,242,242
2025-04-20 02:35:00,0,245,245
2025-04-20 02:40:00,0,206,206
2025-04-20 02:45:00,0,207,207
2025-04-20 02:50:00,0,236,236
2025-04-20 02:55:00,0,242,242
2025-04-20 03:00:00,0,240,240
2025-04-20 03:05:00,0,247,247
2025-04-20 03:10:00,0,208,208
2025-04-20 03:15:00,0,204,204
2025-04-20 03:20:00,0,239,239
2025-04-20 03:25:00,0,243,243
2025-04-20 03:30:00,0,244,244
2025-04-20 03:35:00,0,248,248
2025-04-20 03:40:00,0,207,207
2025-04-20 03:45:00,0,206,206
2025-04-20 03:50:00,0,238,238
2025-04-20 03:55:00,0,240,240
2025-04-20 04:00:00,0,240,240
2025-04-20 04:05:00,0,262,262
2025-04-20 04:10:00,0,206,206
2025-04-20 04:15:00,0,202,202
2025-04-20 04:20:00,0,238,238
2025-04-20 04:25:00,0,240,240
2025-04-20 04:30:00,0,241,241
2025-04-20 04:35:00,0,204,204
2025-04-20 04:40:00,0,206,206
2025-04-20 04:45:00,0,208,208
2025-04-20 04:50:00,0,240,240
2025-04-20 04:55:00,0,239,239
2025-04-20 05:00:00,0,236,236
2025-04-20 05:05:00,0,208,208
2025-04-20 05:10:00,0,203,203
2025-04-20 05:15:00,0,244,244
