Time,PV(W),Grid(W),Load(W)
2025-11-30 00:00:00,0,167,167
2025-11-30 00:05:00,0,166,166
2025-11-30 00:10:00,0,166,166
2025-11-30 00:15:00,0,132,132
2025-11-30 00:20:00,0,181,181
2025-11-30 00:25:00,0,165,165
2025-11-30 00:30:00,0,169,169
2025-11-30 00:35:00,0,163,163
2025-11-30 00:40:00,0,130,130
2025-11-30 00:45:00,0,128,128
2025-11-30 00:50:00,0,169,169
2025-11-30 00:55:00,0,164,164
2025-11-30 01:00:00,0,170,170
2025-11-30 01:05:00,0,173,173
2025-11-30 01:10:00,0,131,131
2025-11-30 01:15:00,0,163,163
2025-11-30 01:20:00,0,172,172
2025-11-30 01:25:00,0,165,165
2025-11-30 01:30:00,0,166,166
2025-11-30 01:35:00,0,129,129
2025-11-30 01:40:00,0,131,131
2025-11-30 01:45:00,0,166,166
2025-11-30 01:50:00,0,166,166
2025-11-30 01:55:00,0,166,166
2025-11-30 02:00:00,0,181,181
2025-11-30 02:05:00,0,130,130
2025-11-30 02:10:00,0,166,166
2025-11-30 02:15:00,0,163,163
2025-11-30 02:20:00,0,168,168
2025-11-30 02:25:00,0,166,166
2025-11-30 02:30:00,0,128,128
2025-11-30 02:35:00,0,132,132
2025-11-30 02:40:00,0,164,164
2025-11-30 02:45:00,0,166,166
2025-11-30 02:50:00,0,166,166
2025-11-30 02:55:00,0,173,173
2025-11-30 03:00:00,0,130,130
2025-11-30 03:05:00,0,178,178
2025-11-30 03:10:00,0,162,162
2025-11-30 03:15:00,0,169,169
2025-11-30 03:20:00,0,166,166
2025-11-30 03:25:00,0,132,132
2025-11-30 03:30:00,0,146,146
2025-11-30 03:35:00,0,166,166
2025-11-30 03:40:00,0,166,166
2025-11-30 03:45:00,0,166,166
2025-11-30 03:50:00,0,172,172
2025-11-30 03:55:00,0,128,128
2025-11-30 04:00:00,0,162,162
2025-11-30 04:05:00,0,167,167
2025-11-30 04:10:00,0,167,167
2025-11-30 04:15:00,0,167,167
2025-11-30 04:20:00,0,135,135
2025-11-30 04:25:00,0,134,134
2025-11-30 04:30:00,0,166,166
2025-11-30 04:35:00,0,163,163
2025-11-30 04:40:00,0,161,161
2025-11-30 04:45:00,0,163,163
2025-11-30 04:50:00,0,116,116
2025-11-30 04:55:00,0,148,148
2025-11-30 05:00:00,0,151,151
2025-11-30 05:05:00,0,151,151
2025-11-30 05:10:00,0,160,160
2025-11-30 05:15:00,93,39,132
2025-11-30 05:20:00,107,25,132
2025-11-30 05:25:00,112,60,172
2025-11-30 05:30:00,143,26,169
